"4","5","6","7","8","9","10"
8,8,8,8,8,8,8
12,12,12,12,12,12,12
25,25,25,25,25,9983,14898
29,29,29,29,29,29,29
34,34,34,34,34,34,34
35,35,35,35,35,12331,5241
40,40,12110,14253,9415,21763,16476
48,48,48,26965,48,48,48
53,53,53,53,53,53,53
59,59,25234,59,59,59,59
61,61,61,61,61,61,61
65,65,65,65,13133,21566,65
67,67,67,67,67,67,67
70,70,70,70,70,70,70
78,22121,78,78,29020,78,78
83,83,83,83,83,83,83
84,84,84,84,15104,25513,28111
88,4965,13397,88,88,88,88
90,90,90,20528,90,90,90
97,97,97,97,97,2373,97
111,111,111,11914,11914,111,11914
120,120,120,120,120,120,120
131,131,131,131,13506,131,131
133,133,133,133,133,133,133
139,139,139,20972,139,139,139
140,140,140,140,140,140,13506
141,29185,12842,145,11258,27818,16181
142,142,16009,18426,25990,25990,25990
145,145,20215,145,145,145,145
150,23203,150,150,150,150,150
154,154,154,154,154,154,154
155,155,155,155,155,155,155
158,158,158,158,158,22800,158
159,159,159,159,25325,159,159
164,164,164,164,164,164,164
166,166,166,166,166,166,166
170,170,170,170,2282,170,170
179,179,179,179,179,179,179
182,182,182,182,182,18064,18064
186,186,186,186,186,186,186
187,187,187,20443,20443,187,187
189,189,20446,18072,18072,18072,18072
199,199,18078,18078,18078,18078,18078
205,205,205,205,205,205,205
207,207,207,207,23219,207,207
208,208,208,208,208,208,208
209,209,16881,209,209,209,209
211,211,211,211,211,211,211
217,217,217,217,217,217,217
221,221,221,221,23835,221,221
228,228,228,228,228,21851,228
235,235,235,235,235,235,18116
253,253,253,253,253,18130,18130
261,261,261,261,261,261,261
263,263,263,263,263,263,263
268,13383,13383,13383,13383,13383,16942
286,286,286,286,286,286,286
289,289,4327,5820,3008,7455,16127
294,29118,2269,21058,29821,8933,8933
297,297,297,297,297,11969,297
299,299,299,299,299,994,11555
301,301,301,301,301,301,301
312,312,312,312,312,312,312
317,317,317,317,317,15224,317
321,321,321,13412,321,321,321
322,322,322,322,322,322,322
325,325,325,325,325,325,325
327,11280,327,327,327,327,327
337,20102,24068,16717,16717,1591,16717
339,22641,339,339,339,339,339
340,340,340,340,340,340,340
351,351,351,351,351,351,351
355,355,355,4873,4873,4873,355
373,373,22699,373,373,373,373
383,383,383,383,383,383,383
386,386,386,386,386,386,386
393,393,393,393,393,393,393
395,8819,395,395,395,4181,395
400,400,400,400,400,400,400
402,402,402,402,402,402,402
425,17068,13586,14898,13337,27384,27384
426,28570,28570,28570,28570,28570,28570
427,427,427,427,427,427,427
431,431,431,431,431,431,431
433,433,433,433,433,433,433
434,434,434,434,434,434,434
441,441,441,441,441,441,18699
443,443,443,443,443,443,443
446,446,446,446,8000,446,879
449,449,449,449,449,449,15736
452,14731,452,452,452,452,28594
460,460,460,460,460,460,460
462,462,462,462,462,462,462
463,463,463,463,463,463,463
473,473,473,473,473,473,473
478,5597,478,478,478,478,478
482,482,482,482,482,4740,482
489,489,489,489,489,489,489
495,495,495,495,495,495,495
499,499,499,499,499,499,499
503,503,503,503,503,503,503
505,505,505,505,505,505,505
514,514,514,514,514,514,514
518,518,518,518,518,518,518
521,521,521,521,9296,9296,9296
542,542,542,542,542,542,542
546,546,546,546,546,546,546
547,547,547,547,547,547,26352
548,548,548,548,548,26353,548
552,552,552,552,22564,22564,22564
565,565,565,565,565,565,565
568,568,568,568,568,26375,20716
573,573,573,573,573,573,573
577,577,577,577,577,577,577
579,579,579,579,1172,579,579
588,588,588,588,588,1183,588
590,9894,590,590,590,590,590
592,592,592,592,592,3388,592
593,17286,593,593,593,14817,19352
595,595,595,595,595,20523,16725
605,605,605,605,16355,951,605
607,607,607,607,607,26412,19388
617,617,617,617,21823,1118,617
621,17025,621,621,621,621,621
629,629,629,629,629,629,629
631,631,631,631,631,631,631
632,632,632,632,632,632,632
654,654,654,654,654,654,654
656,24967,656,656,656,656,7075
660,660,660,660,660,660,660
667,667,19388,667,667,667,667
672,672,672,672,672,14897,14897
680,13393,680,680,680,680,9138
684,684,684,684,684,684,684
692,692,692,692,692,692,7232
695,695,695,695,695,27318,18519
699,699,699,699,699,699,699
708,708,708,708,708,708,708
710,710,710,710,710,710,710
711,711,711,711,711,17104,28733
725,725,725,725,725,725,725
730,730,730,730,730,730,730
737,737,737,737,737,737,737
738,738,738,738,738,738,738
748,748,748,748,748,748,748
749,749,749,749,749,749,749
752,752,752,752,27159,28789,3093
754,754,754,754,754,754,754
758,758,758,758,758,24089,758
760,760,760,760,760,20216,760
761,761,761,761,761,761,761
763,763,763,763,763,763,763
764,764,764,764,764,764,764
768,768,768,768,768,13858,768
774,774,774,774,774,774,774
775,775,775,775,775,775,775
777,943,16056,16096,22880,9518,16116
780,780,780,780,780,780,780
781,781,781,781,781,781,781
782,782,782,782,782,782,782
785,11911,785,785,785,785,785
805,805,805,805,805,805,805
806,806,806,806,806,806,9121
814,14310,14310,14310,14310,14310,14310
816,816,816,816,816,816,816
821,821,821,821,821,821,821
832,832,5461,84,25285,25285,25285
842,842,842,19892,842,842,842
847,847,847,9654,847,847,847
848,848,848,848,848,848,848
853,853,853,853,853,853,853
857,857,857,857,857,857,857
870,870,870,870,870,870,870
876,876,876,876,876,876,876
879,2645,2645,2645,2645,2645,27829
885,885,885,885,885,885,885
888,888,888,888,888,888,888
895,895,895,895,895,895,895
909,21301,1395,4570,5394,18872,18872
913,913,913,913,913,913,913
922,922,922,13802,922,922,922
928,928,4323,4323,4323,4323,24770
935,935,935,935,935,935,935
943,943,943,943,943,943,943
945,11633,9760,9760,9760,22161,3031
949,949,949,949,949,949,949
951,951,951,18528,951,951,951
953,953,2333,953,953,953,953
957,957,957,957,957,957,25980
973,973,13683,973,973,5352,5352
976,976,976,976,976,6558,6558
982,15625,15625,15625,15625,15625,15625
984,984,984,984,984,984,984
990,990,990,990,990,990,990
992,992,992,23950,992,23419,992
993,993,993,993,993,993,5535
994,994,994,994,749,5000,1538
1001,1001,1001,1001,1001,1001,1001
1011,1011,21952,21952,21952,21952,21952
1017,1017,1017,1017,1017,1017,1017
1020,1020,8460,1020,1020,1020,1020
1022,1022,1022,1022,1022,1022,1022
1023,1023,1023,4590,1023,1023,1023
1024,1024,1024,1024,1024,1024,1024
1025,1025,1025,1025,1025,1025,1025
1028,1028,1028,1028,1028,1028,1028
1043,1043,1043,1043,1043,1043,18014
1044,1044,1044,1044,1044,1044,1044
1058,1058,1058,1058,1058,5895,7108
1064,1064,1064,1064,7084,26961,17088
