"sample_id","hit_id_5","x_5","y_5","z_5","rho_5","eta_5","phi_5","volume_id_5","layer_id_5","module_id_5","value_5"
1,69881,152.319000244141,-213.11799621582,122.199996948242,261.954895019531,0.451042950153351,-0.950261473655701,13,2,454,2
6,69375,265.054992675781,-1.76772999763489,11.3999996185303,265.060882568359,0.0429957881569862,-0.00666919630020857,13,2,420,2
24,69434,254.218994140625,61.6934013366699,-10.1999998092651,261.597747802734,-0.0389811992645264,0.238075762987137,13,2,422,1
74,69180,-218.089004516602,-148.175003051758,-28.2000007629394,263.663879394531,-0.106751449406147,-2.54480981826782,13,2,404,2
80,70058,109.464996337891,232.464996337891,107.800003051758,256.948547363281,0.408115386962891,1.13070833683014,13,2,468,2
82,69187,-191.061004638672,-182.335006713867,-43.7999992370605,264.102935791016,-0.165093436837196,-2.37955951690674,13,2,405,1
89,68914,227.067001342773,119.305000305176,-133.600006103516,256.501647949219,-0.499786138534546,0.483774334192276,13,2,384,1
92,70160,-186.263000488281,176.807998657227,68.8000030517578,256.817016601562,0.264789938926697,2.38223028182983,13,2,476,2
117,69583,-152.00700378418,216.468994140625,-45,264.508880615234,-0.169316500425339,2.18300485610962,13,2,434,2
118,68979,9.16849994659424,260.287994384766,-86.8000030517578,260.449432373047,-0.327390104532242,1.53558647632599,13,2,390,2
138,77849,-200.490005493164,-167.190002441406,-22.2000007629395,261.053131103516,-0.0849379450082779,-2.4465160369873,13,2,405,1
148,77895,-128.149993896484,-230.108001708984,-18.6000003814697,263.385864257812,-0.0705601796507835,-2.07893085479736,13,2,407,2
157,77222,-221.369003295898,-132.791000366211,-58,258.142761230469,-0.222833082079887,-2.60127401351929,13,2,364,1
165,78290,-68.4684982299805,253.638000488281,-25.7999992370606,262.716918945312,-0.0980473980307579,1.83445751667023,13,2,432,1
174,78263,-2.41322994232178,259.398010253906,-40.2000007629395,259.409240722656,-0.154353752732277,1.58009922504425,13,2,431,1
180,78573,161.031005859375,-200.830001831055,127.599998474121,257.417297363281,0.477356344461441,-0.894942104816437,13,2,455,1
192,77685,-95.9047012329102,239.570007324219,-91.5999984741211,258.053283691406,-0.347904533147812,1.95157861709595,13,2,393,1
193,77339,38.8440017700195,-259.032012939453,-55.5999984741211,261.928314208984,-0.210709139704704,-1.42194712162018,13,2,371,2
212,78852,-5.80855989456177,256.6669921875,96.4000015258789,256.732727050781,0.367181211709976,1.59342312812805,13,2,471,2
215,78356,-215.501007080078,145.5,-17.3999996185303,260.021026611328,-0.0668678134679794,2.54772567749023,13,2,437,1
223,77704,-151.029006958008,213.662002563477,-72.4000015258789,261.650939941406,-0.273289918899536,2.18611121177673,13,2,394,2
224,77837,-218.151000976562,-148.02799987793,7.80000019073486,263.632598876953,0.0295823290944099,-2.54540300369263,13,2,404,2
240,77970,103.963996887207,-240.630996704102,40.2000007629395,262.129333496094,0.152764543890953,-1.16297161579132,13,2,413,1
247,78361,-243.707000732422,96.5695037841797,51,262.142669677734,0.193343609571457,2.76432108879089,13,2,438,1
248,78815,58.4091987609863,252.143997192383,80.8000030517578,258.820831298828,0.307324469089508,1.34316122531891,13,2,469,1
258,78979,-260.850006103516,6.75298023223877,112,260.937408447266,0.417028337717056,3.11571002006531,13,2,480,2
264,77343,39.0036010742188,-259.042999267578,-90.4000015258789,261.962890625,-0.338580846786499,-1.42135083675385,13,2,371,2
265,77351,55.3737983703613,-251.783996582031,-98.8000030517578,257.801147460938,-0.374430537223816,-1.35431683063507,13,2,372,2
313,64006,234.378997802734,116.872001647949,101.199996948242,261.90185546875,0.377382695674896,0.462563306093216,13,2,463,1
323,63527,219.177993774414,145.595993041992,35.4000015258789,263.129608154297,0.134131848812103,0.586349844932556,13,2,424,2
347,62848,-215.281997680664,-147.197006225586,-114.400001525879,260.793579101562,-0.425687670707703,-2.54186272621155,13,2,364,2
348,63481,256.89599609375,-54.5878982543945,24.6000003814697,262.631652832031,0.093530923128128,-0.209376066923141,13,2,419,1
376,63629,-73.3307037353516,253.220001220703,-25.7999992370606,263.624267578125,-0.0977109000086784,1.85267817974091,13,2,432,1
