"sample_id","hit_id_1","x_1","y_1","z_1","rho_1","eta_1","phi_1","volume_id_1","layer_id_1","module_id_1","value_1","hit_id_2","x_2","y_2","z_2","rho_2","eta_2","phi_2","volume_id_2","layer_id_2","module_id_2","value_2","hit_id_3","x_3","y_3","z_3","rho_3","eta_3","phi_3","volume_id_3","layer_id_3","module_id_3","value_3","hit_id_4","x_4","y_4","z_4","rho_4","eta_4","phi_4","volume_id_4","layer_id_4","module_id_4","value_4"
8,20146,31.8974990844727,-1.55610001087189,-9.99466037750244,31.935432434082,-0.308068484067917,-0.0487457439303398,8,2,104,0.238887712359428,28975,71.7263031005859,-2.88182997703552,-16.0310001373291,71.7841720581055,-0.221506476402283,-0.0401565469801426,8,4,208,0.261360108852386,36163,115.761001586914,-3.54416990280151,-22.709400177002,115.815246582031,-0.194847702980042,-0.0306067075580359,8,6,338,0.270877301692963,42663,171.733993530273,-3.17739009857178,-31.2593994140625,171.763381958008,-0.181001171469688,-0.0184997022151947,8,8,507,0.331274002790451
12,18133,30.980899810791,-9.01317024230957,12.7814998626709,32.2653579711914,0.38644614815712,-0.283111989498138,8,2,120,0.306829512119293,23946,68.9011993408203,-19.2823009490967,19.6333999633789,71.5484619140625,0.271074920892715,-0.272873640060425,8,4,239,0.315266400575638,29134,111.267997741699,-29.7936992645264,27.1494998931885,115.187812805176,0.233568221330643,-0.261627733707428,8,6,388,0.321380823850632,33853,165.817993164062,-41.839900970459,36.6571006774902,171.015167236328,0.2127415984869,-0.247164994478226,8,8,582,0.287185788154602
25,22706,31.6396999359131,-6.12593984603882,-2.96563005447388,32.2272834777832,-0.0918929278850555,-0.191249266266823,8,2,104,0.287321001291275,32894,70.265998840332,-13.7374000549316,-6.62188005447388,71.5962753295898,-0.09235779941082,-0.193070352077484,8,4,207,0.304785996675491,41357,114.277000427246,-22.6121006011963,-10.7843999862671,116.492652893066,-0.0924439877271652,-0.19534757733345,8,6,337,0.319532483816147,48778,168.804000854492,-33.8902015686035,-15.959400177002,172.172409057617,-0.0925620123744011,-0.198132544755936,8,8,505,0.337826013565063
29,25243,31.2476005554199,-4.285719871521,4.56827020645142,31.540132522583,0.144338235259056,-0.136303141713142,8,2,120,0.294865310192108,34293,71.4925994873047,-9.13728046417236,5.87938022613525,72.0741424560547,0.081483818590641,-0.127118200063705,8,4,240,0.284211337566376,42345,114.158996582031,-13.4781999588013,7.18438005447388,114.95189666748,0.0624583698809147,-0.117521114647388,8,6,389,0.289003193378448,49536,170.445999145508,-17.9797992706299,8.98437976837158,171.391693115234,0.0523961000144482,-0.105098105967045,8,8,584,0.275317996740341
34,18217,33.0736999511719,2.16338992118835,-4.64143991470337,33.1443786621094,-0.139583304524422,0.0653181374073029,8,2,105,0.350826621055603,26089,72.6156997680664,4.14239978790283,-14.3348999023438,72.733757019043,-0.195833072066307,0.0569837540388107,8,4,209,0.325524806976318,32668,116.313003540039,5.66681003570557,-25.0352993011475,116.450965881348,-0.213363155722618,0.0486818552017212,8,6,339,0.298121899366379,38436,172.179000854492,6.55906009674072,-38.7136001586914,172.30387878418,-0.22283336520195,0.0380760133266449,8,8,508,0.326550900936127
35,19513,30.9820995330811,8.14560985565186,-5.15936994552612,32.0350036621094,-0.160365864634514,0.257095068693161,8,2,105,0.317394018173218,28105,70.4400024414062,18.1697006225586,-7.19631004333496,72.7456665039062,-0.0987635776400566,0.252442955970764,8,4,210,0.300737798213959,35245,111.916000366211,28.2556991577148,-9.33345985412598,115.427795410156,-0.0807718187570572,0.247304245829582,8,6,340,0.335159599781036,41551,166.518005371094,40.7910995483398,-12.1550998687744,171.441421508789,-0.0708400830626488,0.240234345197678,8,8,510,0.328744441270828
40,18859,32.2224998474121,4.59794998168945,-7.02524995803833,32.5488967895508,-0.214195176959038,0.141736954450607,8,2,105,0.344995319843292,26719,71.2322006225586,9.84097003936768,-16.3143997192383,71.9087677001953,-0.224973693490028,0.137284368276596,8,4,209,0.32119607925415,33357,116.170997619629,15.4708003997803,-27.0044994354248,117.196617126465,-0.228428646922112,0.132393658161163,8,6,340,0.334522634744644,39290,170.744003295898,21.6991004943848,-39.959400177002,172.117309570312,-0.230127096176147,0.126407966017723,8,8,509,0.31547799706459
48,20768,31.4183006286621,-1.25888001918793,3.92188000679016,31.4435119628906,0.124406568706036,-0.0400469489395618,8,2,120,0.300218999385834,27826,71.2051010131836,-2.26746010780334,1.67188000679016,71.2411956787109,0.0234657041728497,-0.0318333096802235,8,4,240,0.304565995931625,33399,115.690002441406,-2.65984988212585,-0.884377002716064,115.720573425293,-0.00764231756329536,-0.0229871328920126,8,6,338,0.328658998012543,39284,171.615997314453,-1.99899005889893,-4.09063005447388,171.627639770508,-0.0238320510834455,-0.0116475131362677,8,8,507,0.262683689594269
53,18361,31.9409999847412,-0.783914983272552,0.128123998641968,31.9506187438965,0.0040100640617311,-0.024537667632103,8,2,104,0.314338982105255,26024,71.6566009521484,-1.21552002429962,-4.93438005447388,71.6669082641602,-0.0687972232699394,-0.0169615000486374,8,4,208,0.335748016834259,32584,115.555000305176,-0.965728998184204,-10.5031003952026,115.559036254883,-0.090764731168747,-0.00835711602121592,8,6,338,0.32558199763298,38385,171.376998901367,0.390731006860733,-17.5904998779297,171.37744140625,-0.102462477982044,0.00227994611486793,8,8,507,0.29882076382637
59,18077,30.5436992645264,7.89943981170654,2.94194006919861,31.5486717224121,0.0931161940097809,0.253082007169724,8,2,121,0.251298397779465,24727,70.3191986083984,17.253999710083,8.21070003509521,72.4050445556641,0.113157875835896,0.24061331152916,8,4,242,0.371348798274994,30631,112.156997680664,25.9640998840332,13.6688003540039,115.123092651367,0.11845488101244,0.227490484714508,8,6,392,0.293969005346298,36145,167.757995605469,35.8196983337402,20.9055004119873,171.539489746094,0.12157029658556,0.210361182689667,8,8,588,0.277345299720764
61,22233,28.9804000854492,12.3705997467041,16.0263004302978,31.5102424621582,0.488896071910858,0.403445780277252,8,2,121,0.280669391155243,29672,65.5718002319336,27.4829006195068,21.0044002532959,71.0983200073242,0.291290611028671,0.396885514259338,8,4,242,0.320957720279694,36368,107.643997192383,44.1898002624512,26.6131000518799,116.361373901367,0.226762339472771,0.389540612697601,8,6,394,0.270192921161652,42495,159.10400390625,63.605899810791,33.4109992980957,171.34700012207,0.193775296211243,0.380312919616699,8,8,590,0.313310086727142
65,20475,31.835599899292,4.20452976226807,9.10890007019043,32.1120452880859,0.279987394809723,0.131310120224953,8,2,121,0.309708088636398,27412,71.0121002197266,8.64890956878662,15.4326000213623,71.5368576049805,0.214090242981911,0.121197938919067,8,4,241,0.273577988147736,33719,114.400001525879,12.5930995941162,22.4461994171143,115.091033935547,0.193814218044281,0.10963811725378,8,6,391,0.324287503957748,39389,171.651992797852,16.3770999908447,31.6595001220703,172.43147277832,0.182590052485466,0.0951208099722862,8,8,587,0.341228723526001
67,18394,29.2397994995117,13.1288995742798,-10.5796003341675,32.0520477294922,-0.324358135461807,0.422028541564941,8,2,105,0.265143811702728,26405,67.1169967651367,29.4062995910644,-20.6613998413086,73.2763366699219,-0.278356969356537,0.412943214178085,8,4,211,0.26356628537178,33023,107.204002380371,45.8151016235352,-31.3369007110596,116.583541870117,-0.265657693147659,0.403871029615402,8,6,342,0.324019581079483,38833,158.563995361328,65.6169967651367,-44.8566017150879,171.604583740234,-0.258506327867508,0.392363339662552,8,8,512,0.295370519161224
70,18140,31.5368003845215,-7.94901990890503,-13.0347995758057,32.5231704711914,-0.390764147043228,-0.246912196278572,8,2,104,0.332951128482819,25567,69.736198425293,-17.138500213623,-2.6782500743866,71.8113174438477,-0.0372869297862053,-0.240985900163651,8,4,207,0.332189291715622,32578,111.763000488281,-26.7689990997314,8.62720012664795,114.924095153809,0.0749983191490173,-0.235087051987648,8,6,388,0.319999605417252,38079,168.007995605469,-38.7580986022949,23.7231006622314,172.420639038086,0.137158036231995,-0.226725503802299,8,8,583,0.295276641845703
78,19701,32.0607986450195,1.33929002285004,-15.0038003921509,32.0887603759766,-0.452020525932312,0.0417491719126701,8,2,104,0.308745890855789,28681,72.7692031860352,3.51009011268616,-21.9664001464844,72.8538131713867,-0.297122240066528,0.0481985732913017,8,4,209,0.320857375860214,36067,116.161003112793,6.41063022613525,-29.3668994903564,116.337760925293,-0.249821186065674,0.0551315322518349,8,6,339,0.324499249458313,42671,171.382995605469,10.924599647522,-38.8372001647949,171.730834960938,-0.224266916513443,0.0636576488614082,8,8,508,0.297147303819656
83,23362,31.0452003479004,-7.87368011474609,10.0530996322632,32.0281028747559,0.30894547700882,-0.248382702469826,8,2,120,0.301726996898651,30658,69.2528991699219,-17.024299621582,10.0530996322632,71.3147277832031,0.140505284070969,-0.241048216819763,8,4,239,0.293841302394867,37248,111.792999267578,-26.5832004547119,10.0530996322632,114.910148620605,0.0873753577470779,-0.233453825116158,8,6,388,0.309583306312561,43121,168.044998168945,-38.157299041748,10.0530996322632,172.322662353516,0.0583058223128319,-0.223279982805252,8,8,583,0.292399197816849
84,23345,31.4092998504639,-1.41831004619598,2.78996992111206,31.4413051605225,0.0886198282241821,-0.0451250821352005,8,2,120,0.280144482851028,29606,71.7109985351562,-2.51480007171631,-6.70306015014648,71.7550811767578,-0.0932803899049759,-0.0350541770458221,8,4,208,0.332005113363266,36519,115.703002929688,-2.81516003608704,-17.0583000183105,115.737243652344,-0.146859690546989,-0.0243261158466339,8,6,338,0.365670382976532,42582,171.615997314453,-1.99495995044708,-30.1483993530273,171.627593994141,-0.174770653247833,-0.011624033562839,8,8,507,0.316964209079742
88,23355,31.3500003814697,-2.47027993202209,2.23241996765137,31.4471740722656,0.0709300190210342,-0.0786343291401863,8,2,120,0.319416612386703,30666,71.3106002807617,-4.78979015350342,5.21563005447388,71.4712753295898,0.072910487651825,-0.0670672580599785,8,4,240,0.301504105329514,37272,115.473999023438,-6.18176984786987,8.59062957763672,115.639343261719,0.0742200165987015,-0.0534828156232834,8,6,390,0.305911988019943,43135,171.550003051758,-6.30530977249146,12.839599609375,171.66584777832,0.0747245997190475,-0.0367384031414986,8,8,585,0.316753685474396
90,23398,31.5478992462158,1.03746998310089,6.93684005737305,31.5649547576904,0.218032330274582,0.0328737013041973,8,2,120,0.293094992637634,30723,72.6804962158203,1.77697002887726,14.1549997329712,72.7022171020508,0.193488761782646,0.0244441945105791,8,4,241,0.302029311656952,37295,116.59700012207,1.7791600227356,21.9011993408203,116.610572814941,0.18672788143158,0.0152578707784414,8,6,391,0.312235802412033,43136,170.856994628906,0.614654004573822,31.4370002746582,170.858093261719,0.182972177863121,0.00359746068716049,8,8,585,0.320232272148132
97,20857,32.5149002075195,3.76155996322632,-10.3718004226685,32.7317581176758,-0.311796128749847,0.115175269544125,8,2,105,0.297626554965973,29745,71.5435028076172,8.55856990814209,-17.0855007171631,72.0536041259766,-0.234954312443733,0.119061686098576,8,4,209,0.289539337158203,37152,114.583999633789,14.1780004501343,-24.5188007354736,115.457824707031,-0.210796907544136,0.123108826577663,8,6,339,0.285854995250702,43747,170.658004760742,22.0207004547119,-34.2402000427246,172.072845458984,-0.197696328163147,0.128325030207634,8,8,509,0.269932687282562
111,17322,30.1721992492676,10.4622001647949,-2.93881988525391,31.9346084594727,-0.0918968394398689,0.333776265382767,8,2,105,0.288417518138885,24705,68.1923980712891,23.0125999450684,-5.32812976837158,71.9707107543945,-0.0739644393324852,0.325465112924576,8,4,210,0.317602902650833,30905,110.279998779297,36.0778999328613,-7.97187995910645,116.031433105469,-0.0686505362391472,0.316173613071442,8,6,341,0.294855326414108,36518,163.927993774414,51.3125991821289,-11.290599822998,171.771270751953,-0.0656831115484238,0.303357750177383,8,8,511,0.282765001058578
120,22138,27.4825000762939,-15.3912000656128,9.49942016601562,31.4988384246826,0.297186017036438,-0.510515987873077,8,2,119,0.307769298553467,29636,63.0858993530273,-34.3471984863281,16.6487007141113,71.8300857543945,0.229752317070961,-0.498573184013367,8,4,238,0.316167414188385,36395,101.706001281738,-53.6795997619629,24.2758007049561,115.002647399902,0.209552064538002,-0.485633105039597,8,6,386,0.273059219121933,42338,153.871994018555,-77.7717971801758,34.36669921875,172.409515380859,0.198034897446632,-0.467983573675156,8,8,580,0.296911716461182
131,20745,31.6573009490967,6.21465015411377,-2.00938010215759,32.261531829834,-0.0622438825666905,0.193845152854919,8,2,105,0.296968996524811,30653,69.9131011962891,13.1754999160767,2.81043004989624,71.1437683105469,0.0394932813942432,0.186270713806152,8,4,241,0.306610405445099,37619,114,20.426399230957,8.40769004821777,115.815536499023,0.0725318491458893,0.177297532558441,8,6,392,0.325807303190231,43960,168.47900390625,28.2640991210938,15.351900100708,170.833343505859,0.0897442400455475,0.166212618350983,8,8,587,0.286947578191757
